name,full_name,owner,stars,forks,size,created_at,updated_at,clone_url,html_url,default_branch,age_years,releases
JavaGuide,Snailclimb/JavaGuide,Snailclimb,151794,45988,177612,2018-05-07T13:27:00Z,2025-09-18T20:59:59Z,https://github.com/Snailclimb/JavaGuide.git,https://github.com/Snailclimb/JavaGuide,main,7.37,0
hello-algo,krahets/hello-algo,krahets,116887,14420,365567,2022-11-04T11:08:34Z,2025-09-18T22:51:38Z,https://github.com/krahets/hello-algo.git,https://github.com/krahets/hello-algo,main,2.87,0
GitHub-Chinese-Top-Charts,GrowingGit/GitHub-Chinese-Top-Charts,GrowingGit,102329,13291,123199,2019-09-05T03:01:56Z,2025-09-18T19:38:38Z,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts.git,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,master,6.04,0
java-design-patterns,iluwatar/java-design-patterns,iluwatar,92707,27177,46865,2014-08-09T16:45:18Z,2025-09-18T21:11:35Z,https://github.com/iluwatar/java-design-patterns.git,https://github.com/iluwatar/java-design-patterns,master,11.11,0
mall,macrozheng/mall,macrozheng,81608,29451,58703,2018-04-04T01:11:44Z,2025-09-18T15:32:09Z,https://github.com/macrozheng/mall.git,https://github.com/macrozheng/mall,master,7.46,0
spring-boot,spring-projects/spring-boot,spring-projects,78415,41499,203365,2012-10-19T15:02:57Z,2025-09-18T21:41:41Z,https://github.com/spring-projects/spring-boot.git,https://github.com/spring-projects/spring-boot,main,12.91,0
advanced-java,doocs/advanced-java,doocs,78260,19264,26603,2018-10-06T11:38:30Z,2025-09-18T21:11:26Z,https://github.com/doocs/advanced-java.git,https://github.com/doocs/advanced-java,main,6.95,0
LeetCodeAnimation,MisterBooo/LeetCodeAnimation,MisterBooo,76452,14020,509807,2018-12-06T08:01:22Z,2025-09-18T20:55:46Z,https://github.com/MisterBooo/LeetCodeAnimation.git,https://github.com/MisterBooo/LeetCodeAnimation,master,6.78,0
elasticsearch,elastic/elasticsearch,elastic,73813,25457,1473863,2010-02-08T13:20:56Z,2025-09-18T22:14:17Z,https://github.com/elastic/elasticsearch.git,https://github.com/elastic/elasticsearch,main,15.61,0
Stirling-PDF,Stirling-Tools/Stirling-PDF,Stirling-Tools,67504,5715,106525,2023-01-27T18:22:42Z,2025-09-18T19:52:51Z,https://github.com/Stirling-Tools/Stirling-PDF.git,https://github.com/Stirling-Tools/Stirling-PDF,main,2.64,0
interviews,kdn251/interviews,kdn251,64467,12951,24462,2017-02-14T18:19:25Z,2025-09-18T17:45:57Z,https://github.com/kdn251/interviews.git,https://github.com/kdn251/interviews,master,8.59,0
Java,TheAlgorithms/Java,TheAlgorithms,63406,20267,6534,2016-07-16T10:21:02Z,2025-09-18T21:10:03Z,https://github.com/TheAlgorithms/Java.git,https://github.com/TheAlgorithms/Java,master,9.17,0
ghidra,NationalSecurityAgency/ghidra,NationalSecurityAgency,60596,6748,392276,2019-03-01T03:27:48Z,2025-09-18T22:04:41Z,https://github.com/NationalSecurityAgency/ghidra.git,https://github.com/NationalSecurityAgency/ghidra,master,6.55,0
spring-framework,spring-projects/spring-framework,spring-projects,58848,38709,233818,2010-12-08T04:04:45Z,2025-09-18T16:33:43Z,https://github.com/spring-projects/spring-framework.git,https://github.com/spring-projects/spring-framework,main,14.78,0
guava,google/guava,google,51122,11074,568919,2014-05-29T16:23:17Z,2025-09-18T21:12:41Z,https://github.com/google/guava.git,https://github.com/google/guava,master,11.31,0
RxJava,ReactiveX/RxJava,ReactiveX,48339,7607,145087,2013-01-08T20:11:48Z,2025-09-18T21:12:29Z,https://github.com/ReactiveX/RxJava.git,https://github.com/ReactiveX/RxJava,3.x,12.69,0
jadx,skylot/jadx,skylot,45526,5255,24323,2013-03-18T17:08:21Z,2025-09-18T21:13:03Z,https://github.com/skylot/jadx.git,https://github.com/skylot/jadx,master,12.5,0
dbeaver,dbeaver/dbeaver,dbeaver,45439,3842,200588,2015-10-21T08:26:28Z,2025-09-18T19:19:03Z,https://github.com/dbeaver/dbeaver.git,https://github.com/dbeaver/dbeaver,devel,9.91,0
termux-app,termux/termux-app,termux,45158,5101,4903,2015-10-23T09:42:46Z,2025-09-18T22:41:38Z,https://github.com/termux/termux-app.git,https://github.com/termux/termux-app,master,9.91,0
JeecgBoot,jeecgboot/JeecgBoot,jeecgboot,43894,15555,79331,2018-11-26T10:40:00Z,2025-09-18T19:23:08Z,https://github.com/jeecgboot/JeecgBoot.git,https://github.com/jeecgboot/JeecgBoot,springboot3,6.81,0
dubbo,apache/dubbo,apache,41366,26537,60576,2012-06-19T07:56:02Z,2025-09-18T19:24:19Z,https://github.com/apache/dubbo.git,https://github.com/apache/dubbo,3.3,13.25,0
MPAndroidChart,PhilJay/MPAndroidChart,PhilJay,38106,9056,21593,2014-04-25T14:29:47Z,2025-09-18T12:36:32Z,https://github.com/PhilJay/MPAndroidChart.git,https://github.com/PhilJay/MPAndroidChart,master,11.4,0
tutorials,eugenp/tutorials,eugenp,37260,54111,114951,2013-04-29T18:26:36Z,2025-09-18T18:53:01Z,https://github.com/eugenp/tutorials.git,https://github.com/eugenp/tutorials,master,12.39,0
halo,halo-dev/halo,halo-dev,36935,10077,78234,2018-03-21T12:56:52Z,2025-09-18T23:09:15Z,https://github.com/halo-dev/halo.git,https://github.com/halo-dev/halo,main,7.5,0
arthas,alibaba/arthas,alibaba,36727,7591,57444,2018-08-29T17:15:57Z,2025-09-18T20:57:04Z,https://github.com/alibaba/arthas.git,https://github.com/alibaba/arthas,master,7.06,0
hello-algorithm,geekxh/hello-algorithm,geekxh,35782,6470,365053,2020-05-29T05:47:09Z,2025-09-18T14:16:05Z,https://github.com/geekxh/hello-algorithm.git,https://github.com/geekxh/hello-algorithm,master,5.31,0
lottie-android,airbnb/lottie-android,airbnb,35475,5446,137313,2016-10-06T22:42:42Z,2025-09-18T06:49:21Z,https://github.com/airbnb/lottie-android.git,https://github.com/airbnb/lottie-android,master,8.95,0
